Date/Time (LST),Month,Day,Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Meter Reading (KWHr)
03-01-2023 12:00,1,3,12:00,1.8,-0.7,84,10,10,24.1,100.06,,,NA,6.61
03-01-2023 13:00,1,3,13:00,2.3,-0.3,83,4,9,16.1,99.91,,,Cloudy,6.763
03-01-2023 14:00,1,3,14:00,2.8,-0.4,80,4,10,16.1,99.78,,,NA,6.636
03-01-2023 15:00,1,3,15:00,2.2,-0.3,83,2,13,16.1,99.72,,,NA,6.601
03-01-2023 16:00,1,3,16:00,1.9,-0.7,83,2,16,16.1,99.71,,,Cloudy,6.614
03-01-2023 17:00,1,3,17:00,1.8,-0.6,84,3,13,24.1,99.7,,,NA,6.794
03-01-2023 18:00,1,3,18:00,1.8,-0.7,84,3,9,24.1,99.71,,,NA,6.544
03-01-2023 19:00,1,3,19:00,2,-0.8,81,3,13,24.1,99.71,,,Cloudy,6.586
03-01-2023 20:00,1,3,20:00,1.9,-1.1,80,3,15,24.1,99.69,,,NA,6.67
03-01-2023 21:00,1,3,21:00,1.9,-1.2,80,3,13,24.1,99.71,,,NA,6.548
03-01-2023 22:00,1,3,22:00,1.8,-1.2,80,2,12,24.1,99.7,,,Cloudy,6.559
03-01-2023 23:00,1,3,23:00,2,-1.3,79,2,16,24.1,99.7,,,Rain,6.94
04-01-2023 00:00,1,4,00:00,1.6,-0.8,84,2,13,24.1,99.69,,,Rain,6.77
04-01-2023 01:00,1,4,01:00,1,-0.4,91,4,11,24.1,99.64,,,Rain,7.061
04-01-2023 02:00,1,4,02:00,0.6,-0.1,95,4,10,24.1,99.61,,,Rain,6.968
04-01-2023 03:00,1,4,03:00,0.8,0.1,95,3,9,24.1,99.71,,,NA,6.706
04-01-2023 04:00,1,4,04:00,0.8,0.1,95,4,11,24.1,99.74,,,Cloudy,7.17
04-01-2023 05:00,1,4,05:00,1,0.2,94,2,10,24.1,99.74,,,NA,6.909
04-01-2023 06:00,1,4,06:00,1.2,0.3,94,34,8,16.1,99.88,,,Rain,6.999
04-01-2023 07:00,1,4,07:00,0.8,0.5,97,5,7,16.1,99.85,,,Rain,7.045
04-01-2023 08:00,1,4,08:00,1,0.5,97,1,11,24.1,99.92,,,NA,6.755
04-01-2023 09:00,1,4,09:00,1.2,0.6,96,1,9,24.1,99.99,,,NA,6.963
04-01-2023 10:00,1,4,10:00,1.3,0.7,96,1,10,12.9,100.15,,,Drizzle,7.164
04-01-2023 11:00,1,4,11:00,1.5,0.9,96,4,12,12.9,100.12,,,Drizzle,6.81
04-01-2023 12:00,1,4,12:00,1.8,0.7,93,5,14,24.1,100.02,,,NA,6.965
04-01-2023 13:00,1,4,13:00,1.9,0.3,89,5,14,24.1,100.02,,,Cloudy,6.913
04-01-2023 14:00,1,4,14:00,1.9,0,87,4,18,24.1,100.01,,,NA,6.652
04-01-2023 15:00,1,4,15:00,1.8,-0.1,87,6,11,24.1,100.06,,,Rain,6.799
04-01-2023 16:00,1,4,16:00,1.2,0.5,95,5,16,9.7,100.05,,,"Rain,Fog",6.669
04-01-2023 17:00,1,4,17:00,0.7,-0.2,94,7,17,9.7,100.04,,,"Rain,Fog",6.595
04-01-2023 18:00,1,4,18:00,0.3,-0.6,93,6,20,16.1,100.04,,,Rain,6.673
04-01-2023 19:00,1,4,19:00,0.3,-0.6,93,7,18,16.1,99.98,,,Rain,6.565
04-01-2023 20:00,1,4,20:00,0.2,-0.8,93,7,33,16.1,99.88,,,Rain,6.753
04-01-2023 21:00,1,4,21:00,0.1,-1,92,6,31,16.1,99.88,,,Rain,6.796
04-01-2023 22:00,1,4,22:00,-0.4,-1.6,92,6,37,12.9,99.85,,-8,Freezing Rain,6.635
04-01-2023 23:00,1,4,23:00,-0.9,-2.1,92,6,46,16.1,99.65,,-9,Freezing Rain,6.502
05-01-2023 00:00,1,5,00:00,-1.3,-2.5,91,7,33,16.1,99.74,,-8,Freezing Rain,6.868
05-01-2023 01:00,1,5,01:00,-1.5,-2.4,93,6,36,16.1,99.6,,-9,Freezing Rain,6.629
05-01-2023 02:00,1,5,02:00,-1.2,-1.9,95,8,28,3.2,99.63,,-8,"Freezing Rain,Fog",6.606
